"","gbifID","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","locality","stateProvince","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters"
"465607",3455426252,"Caryophyllales","Amaranthaceae","Salsola","Salsola tragus","","SPECIES","Salsola tragus L.","Salsola tragus","","","Nevada",41.987938,-114.671483,5
"4772481",3338124457,"Caryophyllales","Cactaceae","Opuntia","Opuntia polyacantha","","SPECIES","Opuntia polyacantha Haw.","Opuntia polyacantha","","","Nevada",41.758995,-114.785065,5
"504615",3455368381,"Caryophyllales","Polygonaceae","Eriogonum","Eriogonum vimineum","","SPECIES","Eriogonum vimineum Douglas ex Benth.","Eriogonum vimineum","","","Nevada",41.781944,-115.787269,18
"5088061",3455472779,"Caryophyllales","Polygonaceae","Eriogonum","Eriogonum heracleoides","","SPECIES","Eriogonum heracleoides Nutt.","Eriogonum heracleoides","","","Nevada",41.746497,-115.800208,4
"5408281",3321051487,"Caryophyllales","Polygonaceae","Eriogonum","Eriogonum heracleoides","","SPECIES","Eriogonum heracleoides Nutt.","Eriogonum heracleoides","","","Nevada",41.781025,-115.789956,8
"571790",3985716129,"Caryophyllales","Polygonaceae","Eriogonum","Eriogonum heracleoides","","SPECIES","Eriogonum heracleoides Nutt.","Eriogonum heracleoides","","","Nevada",41.68563,-115.507912,4
"5901492",3321013515,"Caryophyllales","Polygonaceae","Persicaria","Persicaria amphibia","","SPECIES","Persicaria amphibia (L.) Gray","Persicaria amphibia","","","Nevada",41.589539,-115.502694,4
"598976",3321253391,"Caryophyllales","Polygonaceae","Eriogonum","Eriogonum umbellatum","","SPECIES","Eriogonum umbellatum Torr.","Eriogonum umbellatum","","","Nevada",41.7825,-115.787681,8
"6067591",3499461424,"Caryophyllales","Amaranthaceae","Chenopodium","Chenopodium atrovirens","","SPECIES","Chenopodium atrovirens Rydb.","Chenopodium atrovirens","","","Nevada",41.752086,-115.461481,5
"607085",3113458469,"Caryophyllales","Cactaceae","Opuntia","Opuntia polyacantha","","SPECIES","Opuntia polyacantha Haw.","Opuntia polyacantha","","","Nevada",41.685197,-115.803755,10
"611934",3456706432,"Caryophyllales","Polygonaceae","Eriogonum","Eriogonum desertorum","","SPECIES","Eriogonum desertorum (Maguire) R.J.Davis","Eriogonum desertorum","","","Nevada",41.58268,-115.56645,20
"629279",4399939277,"Caryophyllales","Cactaceae","Pediocactus","Pediocactus simpsonii","","SPECIES","Pediocactus simpsonii (Engelm.) Britton & Rose","Pediocactus simpsonii","","","Nevada",41.99468,-114.42352,8
"6293731",3307224508,"Caryophyllales","Polygonaceae","Eriogonum","Eriogonum caespitosum","","SPECIES","Eriogonum caespitosum Nutt.","Eriogonum caespitosum","","","Nevada",41.777166,-115.792836,15
"6569361",3320940153,"Dipsacales","Caprifoliaceae","Symphoricarpos","Symphoricarpos rotundifolius","","SPECIES","Symphoricarpos rotundifolius A.Gray","Symphoricarpos rotundifolius","","","Nevada",41.996095,-115.849325,4
"688993",3321245502,"Dipsacales","Caprifoliaceae","Valeriana","Valeriana edulis","","SPECIES","Valeriana edulis Torr. & A.Gray","Valeriana edulis","","","Nevada",41.780044,-115.474944,16
"7320001",3947413661,"Dipsacales","Caprifoliaceae","Valeriana","Valeriana edulis","","SPECIES","Valeriana edulis Torr. & A.Gray","Valeriana edulis","","","Nevada",41.854373,-115.761532,8
"735764",3321257447,"Dipsacales","Caprifoliaceae","Symphoricarpos","Symphoricarpos rotundifolius","","SPECIES","Symphoricarpos rotundifolius A.Gray","Symphoricarpos rotundifolius","","","Nevada",41.780061,-115.475083,4
"231925",2850840403,"Fabales","Fabaceae","Astragalus","Astragalus anserinus","","SPECIES","Astragalus anserinus N.D.Atwood, Goodrich & S.L.Welsh","Astragalus anserinus","","","Nevada",41.93125,-114.05633,50
"390062",3455310208,"Fabales","Fabaceae","Astragalus","Astragalus kentrophyta","elatus","SUBSPECIES","Astragalus kentrophyta subsp. elatus (S.Watson) W.A.Weber","Astragalus kentrophyta elatus","","","Nevada",41.58237,-114.787728,4
"92925",2826343769,"Fabales","Fabaceae","Trifolium","Trifolium pratense","","SPECIES","Trifolium pratense L.","Trifolium pratense","","","Nevada",41.84539,-115.429196,24
"2313441",2850675401,"Fabales","Fabaceae","Astragalus","Astragalus anserinus","","SPECIES","Astragalus anserinus N.D.Atwood, Goodrich & S.L.Welsh","Astragalus anserinus","","","Nevada",41.93125,-114.05633,50
"3419301",4011676602,"Fabales","Fabaceae","Astragalus","Astragalus kentrophyta","elatus","SUBSPECIES","Astragalus kentrophyta subsp. elatus (S.Watson) W.A.Weber","Astragalus kentrophyta elatus","","","Nevada",41.590663,-114.789092,25
"4260021",3759215584,"Fabales","Fabaceae","Astragalus","Astragalus toanus","","SPECIES","Astragalus toanus M.E.Jones","Astragalus toanus","","","Nevada",41.91352,-114.109855,7
"4482731",2611242388,"Malpighiales","Violaceae","Viola","Viola beckwithii","","SPECIES","Viola beckwithii Torr. & A.Gray","Viola beckwithii","","","Nevada",41.646192,-117.270508,10
"4929111",2826336806,"Malpighiales","Linaceae","Linum","Linum lewisii","","SPECIES","Linum lewisii Pursh","Linum lewisii","","","Nevada",41.889222,-115.413497,5
"527690",3759075626,"Malpighiales","Violaceae","Viola","Viola purpurea","","SPECIES","Viola purpurea Kellogg","Viola purpurea","","","Nevada",41.829436,-115.456628,18
"5737251",3759139608,"Malpighiales","Violaceae","Viola","Viola purpurea","","SPECIES","Viola purpurea Kellogg","Viola purpurea","","","Nevada",41.807808,-115.4757,24
"580655",2826327719,"Malpighiales","Salicaceae","Populus","Populus tremuloides","","SPECIES","Populus tremuloides Michx.","Populus tremuloides","","","Nevada",41.859194,-115.435937,24
"612111",2596348243,"Malpighiales","Salicaceae","Populus","Populus tremuloides","","SPECIES","Populus tremuloides Michx.","Populus tremuloides","","","Nevada",41.724533,-115.894905,5
"6193291",4006624621,"Malpighiales","Salicaceae","Populus","Populus trichocarpa","","SPECIES","Populus trichocarpa Torr. & A.Gray ex Hook.","Populus trichocarpa","","","Nevada",41.686833,-115.506492,27
"6430892",3859195416,"Malpighiales","Linaceae","Linum","Linum lewisii","","SPECIES","Linum lewisii Pursh","Linum lewisii","","","Nevada",41.588825,-115.50035,21
"37452",2862337438,"Gentianales","Apocynaceae","Apocynum","Apocynum androsaemifolium","","SPECIES","Apocynum androsaemifolium L.","Apocynum androsaemifolium","","","Nevada",41.855297,-115.432725,4
"136919",4177035989,"Gentianales","Gentianaceae","Frasera","Frasera speciosa","","SPECIES","Frasera speciosa Douglas ex Hook.","Frasera speciosa","","","Nevada",41.832753,-115.451895,30
"276496",4103170367,"Ranunculales","Ranunculaceae","Myosurus","Myosurus minimus","","SPECIES","Myosurus minimus L.","Myosurus minimus","","","Nevada",41.778204,-115.784001,9
"3720601",3321057478,"Ranunculales","Ranunculaceae","Ranunculus","Ranunculus aquatilis","","SPECIES","Ranunculus aquatilis L.","Ranunculus aquatilis","","","Nevada",41.588875,-115.501128,7
"373330",3994053368,"Ranunculales","Ranunculaceae","Ceratocephala","Ceratocephala orthoceras","","SPECIES","Ceratocephala testiculata (Crantz) Roth","Ceratocephala testiculata","","","Nevada",41.98798,-114.671543,5
"3832801",4165448676,"Ranunculales","Ranunculaceae","Aquilegia","Aquilegia formosa","","SPECIES","Aquilegia formosa Fisch. ex DC.","Aquilegia formosa","","","Nevada",41.854165,-115.253338,20
"3973644",3321250502,"Ranunculales","Ranunculaceae","Aquilegia","Aquilegia formosa","","SPECIES","Aquilegia formosa Fisch. ex DC.","Aquilegia formosa","","","Nevada",41.786519,-115.485786,4
"436256",3321260471,"Ranunculales","Ranunculaceae","Myosurus","Myosurus minimus","","SPECIES","Myosurus minimus L.","Myosurus minimus","","","Nevada",41.777981,-115.783989,4
"453450",3320974506,"Ranunculales","Ranunculaceae","Halerpestes","Halerpestes cymbalaria","","SPECIES","Halerpestes cymbalaria (Pursh) Greene","Halerpestes cymbalaria","","","Nevada",41.589169,-115.502456,7
"457139",3455273535,"Ranunculales","Ranunculaceae","Ranunculus","Ranunculus glaberrimus","","SPECIES","Ranunculus glaberrimus Hook.","Ranunculus glaberrimus","","","Nevada",41.646687,-117.270247,5
"4910321",3321265487,"Ranunculales","Ranunculaceae","Aconitum","Aconitum columbianum","","SPECIES","Aconitum columbianum Nutt.","Aconitum columbianum","","","Nevada",41.780108,-115.475211,11
"507375",3117797472,"Ranunculales","Ranunculaceae","Ceratocephala","Ceratocephala orthoceras","","SPECIES","Ceratocephala testiculata (Crantz) Roth","Ceratocephala testiculata","","","Nevada",41.987985,-114.671535,5
"5338351",2823240117,"Ranunculales","Ranunculaceae","Aquilegia","Aquilegia formosa","","SPECIES","Aquilegia formosa Fisch. ex DC.","Aquilegia formosa","","","Nevada",41.94552,-115.816483,10
"5405592",4407212696,"Ranunculales","Berberidaceae","Mahonia","Mahonia repens","","SPECIES","Berberis repens Lindl.","Berberis repens","","","Nevada",41.748687,-114.076105,15
"554013",3321255551,"Ranunculales","Ranunculaceae","Actaea","Actaea rubra","","SPECIES","Actaea rubra (Aiton) Willd.","Actaea rubra","","","Nevada",41.851683,-115.428061,25
"562018",3321054495,"Ranunculales","Ranunculaceae","Aconitum","Aconitum columbianum","","SPECIES","Aconitum columbianum Nutt.","Aconitum columbianum","","","Nevada",41.830447,-115.455969,29
"720897",2641413200,"Rosales","Rosaceae","Purshia","Purshia tridentata","","SPECIES","Purshia tridentata (Pursh) DC.","Purshia tridentata","","","Nevada",41.687038,-115.804672,5
"862784",3947352818,"Rosales","Rosaceae","Purshia","Purshia tridentata","","SPECIES","Purshia tridentata (Pursh) DC.","Purshia tridentata","","","Nevada",41.91402,-114.962983,4
"874523",3321304511,"Rosales","Rosaceae","Prunus","Prunus virginiana","","SPECIES","Prunus virginiana L.","Prunus virginiana","","","Nevada",41.780267,-115.475083,12
"8852471",4028712561,"Rosales","Urticaceae","Urtica","Urtica gracilis","holosericea","SUBSPECIES","Urtica gracilis subsp. holosericea (Nutt.) Weigend","Urtica gracilis holosericea","","","Nevada",41.76275,-115.462678,12
"9079011",3321223472,"Rosales","Rhamnaceae","Ceanothus","Ceanothus velutinus","","SPECIES","Ceanothus velutinus Douglas","Ceanothus velutinus","","","Nevada",41.780092,-115.475067,7
"911613",3455961509,"Rosales","Rosaceae","Potentilla","Potentilla gracilis","","SPECIES","Potentilla gracilis Douglas ex Hook.","Potentilla gracilis","","","Nevada",41.925576,-116.074174,2
"9295011",3499562505,"Rosales","Rosaceae","Rosa","Rosa woodsii","","SPECIES","Rosa woodsii Lindl.","Rosa woodsii","","","Nevada",41.835046,-115.425695,4
"963018",3455391301,"Rosales","Rosaceae","Potentilla","Potentilla gracilis","","SPECIES","Potentilla gracilis Douglas ex Hook.","Potentilla gracilis","","","Nevada",41.729163,-115.690103,4
"965504",3923493504,"Rosales","Rosaceae","Cercocarpus","Cercocarpus ledifolius","","SPECIES","Cercocarpus ledifolius Nutt.","Cercocarpus ledifolius","","","Nevada",41.836628,-117.297113,4
"979965",2641543127,"Rosales","Rosaceae","Geum","Geum triflorum","","SPECIES","Geum triflorum Pursh","Geum triflorum","","","Nevada",41.68107,-115.80493,5
"NA.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3664",4165441110,"Asterales","Asteraceae","Artemisia","Artemisia tridentata","","SPECIES","Artemisia tridentata (Nutt.) W.A.Weber","Artemisia tridentata","","","Nevada",41.9868,-119.970519,50
"44640",3994343384,"Asterales","Asteraceae","Tetradymia","Tetradymia canescens","","SPECIES","Tetradymia canescens DC.","Tetradymia canescens","","","Nevada",41.814138,-119.644272,5
"73880",3892422514,"Asterales","Asteraceae","Madia","Madia gracilis","","SPECIES","Madia gracilis (Sm.) D.D.Keck & J.C.Clausen ex Applegate","Madia gracilis","","","Nevada",41.086689,-119.979033,5
"86616",3097048457,"Asterales","Asteraceae","Solidago","Solidago spectabilis","","SPECIES","Solidago spectabilis (D.C.Eaton) A.Gray","Solidago spectabilis","","","Nevada",41.876788,-119.042519,4
"157251",3858838873,"Asterales","Asteraceae","Cirsium","Cirsium scariosum","","SPECIES","Cirsium scariosum Nutt.","Cirsium scariosum","","","Nevada",41.641725,-119.241883,8
"175926",1914194132,"Asterales","Asteraceae","Erigeron","Erigeron linearis","","SPECIES","Erigeron linearis (Hook.) Piper","Erigeron linearis","","","Nevada",41.409343,-119.582066,31
"191829",3873266318,"Asterales","Asteraceae","Artemisia","Artemisia arbuscula","longicaulis","SUBSPECIES","Artemisia arbuscula subsp. longicaulis Winward & Mc Arthur","Artemisia arbuscula longicaulis","","","Nevada",41.235408,-119.924187,5
"216443",4091400586,"Asterales","Asteraceae","Tetradymia","Tetradymia glabrata","","SPECIES","Tetradymia glabrata Torr. & A.Gray","Tetradymia glabrata","","","Nevada",40.989022,-119.77832,4
