"","gbifID","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","locality","stateProvince","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters"
"89318",3301856738,"Ericales","Ericaceae","Arctostaphylos","Arctostaphylos patula","","SPECIES","Arctostaphylos patula Greene","Arctostaphylos patula","","","Utah",38.529203,-112.392128,15
"98671",4145479523,"Ericales","Primulaceae","Primula","Primula parryi","","SPECIES","Primula parryi A.Gray","Primula parryi","","","Utah",38.368698,-112.377009,15
"119243",2573792064,"Ericales","Polemoniaceae","Phlox","Phlox pulvinata","","SPECIES","Phlox pulvinata (Wherry) Cronquist","Phlox pulvinata","","","Utah",38.309681,-112.341352,5
"1765941",3314374274,"Ericales","Polemoniaceae","Collomia","Collomia linearis","","SPECIES","Collomia linearis Nutt.","Collomia linearis","","","Utah",38.30336,-112.426693,43
"201223",3384208705,"Ericales","Polemoniaceae","Polemonium","Polemonium viscosum","","SPECIES","Polemonium viscosum Nutt.","Polemonium viscosum","","","Utah",38.379262,-112.383155,27
"216864",4153689528,"Ericales","Polemoniaceae","Polemonium","Polemonium viscosum","","SPECIES","Polemonium viscosum Nutt.","Polemonium viscosum","","","Utah",38.368405,-112.378348,31
"2255961",3321089600,"Ericales","Polemoniaceae","Polemonium","Polemonium viscosum","","SPECIES","Polemonium viscosum Nutt.","Polemonium viscosum","","","Utah",38.368012,-112.385492,5
"229121",4400069022,"Ericales","Polemoniaceae","Ipomopsis","Ipomopsis tenuituba","","SPECIES","Ipomopsis tenuituba (Rydb.) V.E.Grant","Ipomopsis tenuituba","","","Utah",38.67445,-112.306458,4
"266779",3415931670,"Ericales","Primulaceae","Primula","Primula parryi","","SPECIES","Primula parryi A.Gray","Primula parryi","","","Utah",38.368175,-112.382783,12
"293797",4413445831,"Ericales","Primulaceae","Primula","Primula parryi","","SPECIES","Primula parryi A.Gray","Primula parryi","","","Utah",38.368247,-112.38282,4
"302410",2901598566,"Ericales","Ericaceae","Orthilia","Orthilia secunda","","SPECIES","Orthilia secunda (L.) House","Orthilia secunda","","","Utah",38.317603,-112.344103,50
"305871",2573792024,"Ericales","Polemoniaceae","Phlox","Phlox pulvinata","","SPECIES","Phlox pulvinata (Wherry) Cronquist","Phlox pulvinata","","","Utah",38.338917,-112.354654,5
"305928",4145312307,"Ericales","Polemoniaceae","Polemonium","Polemonium viscosum","","SPECIES","Polemonium viscosum Nutt.","Polemonium viscosum","","","Utah",38.367833,-112.384828,4
"58421",4129681790,"Boraginales","Boraginaceae","Lithospermum","Lithospermum ruderale","","SPECIES","Lithospermum ruderale Douglas ex Lehm.","Lithospermum ruderale","","","Utah",38.322125,-112.844728,5
"94340",4171370472,"Boraginales","Boraginaceae","Greeneocharis","Greeneocharis circumscissa","","SPECIES","Greeneocharis circumscissa (Hook. & Arn.) Rydb.","Greeneocharis circumscissa","","","Utah",38.407628,-112.836625,5
"99166",3314630325,"Boraginales","Boraginaceae","Mertensia","Mertensia ciliata","","SPECIES","Mertensia ciliata (James ex Torr.) G.Don","Mertensia ciliata","","","Utah",38.373142,-112.386239,22
"135316",4171396399,"Boraginales","Boraginaceae","Cynoglossum","Cynoglossum officinale","","SPECIES","Cynoglossum officinale L.","Cynoglossum officinale","","","Utah",38.567076,-112.129947,5
"138767",4126816242,"Boraginales","Boraginaceae","Cynoglossum","Cynoglossum officinale","","SPECIES","Cynoglossum officinale L.","Cynoglossum officinale","","","Utah",38.926647,-112.221275,4
"166019",3301788776,"Celastrales","Celastraceae","Paxistima","Paxistima myrsinites","","SPECIES","Paxistima myrsinites (Pursh) Raf.","Paxistima myrsinites","","","Utah",38.504128,-112.393463,46
"183295",4400023425,"Cornales","Loasaceae","Mentzelia","Mentzelia laevicaulis","","SPECIES","Mentzelia laevicaulis (Douglas ex Hook.) Torr. & A.Gray","Mentzelia laevicaulis","","","Utah",38.54252,-112.269172,5
"201584",3892468621,"Cornales","Loasaceae","Mentzelia","Mentzelia laevicaulis","","SPECIES","Mentzelia laevicaulis (Douglas ex Hook.) Torr. & A.Gray","Mentzelia laevicaulis","","","Utah",38.497038,-112.215622,17
"202761",3873358466,"Cornales","Loasaceae","Mentzelia","Mentzelia laevicaulis","","SPECIES","Mentzelia laevicaulis (Douglas ex Hook.) Torr. & A.Gray","Mentzelia laevicaulis","","","Utah",38.464803,-112.317947,8
"2027811",3873315475,"Cornales","Loasaceae","Mentzelia","Mentzelia laevicaulis","","SPECIES","Mentzelia laevicaulis (Douglas ex Hook.) Torr. & A.Gray","Mentzelia laevicaulis","","","Utah",38.545362,-112.269312,4
"207129",3759163700,"Cornales","Loasaceae","Mentzelia","Mentzelia laevicaulis","","SPECIES","Mentzelia laevicaulis (Douglas ex Hook.) Torr. & A.Gray","Mentzelia laevicaulis","","","Utah",38.566903,-112.26687,5
"227737",2005277899,"Cornales","Hydrangeaceae","Philadelphus","Philadelphus microphyllus","","SPECIES","Philadelphus microphyllus A.Gray","Philadelphus microphyllus","","","Utah",38.566544,-112.265847,50
"295251",3337765807,"Geraniales","Geraniaceae","Geranium","Geranium richardsonii","","SPECIES","Geranium richardsonii Fisch. & Trautv.","Geranium richardsonii","","","Utah",38.416705,-112.322875,15
