"","gbifID","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","locality","stateProvince","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters"
"916184",2311354696,"Asterales","Asteraceae","Anaphalis","Anaphalis margaritacea","","SPECIES","Anaphalis margaritacea (L.) Benth.","Anaphalis margaritacea","","","Washington",47.915806,-117.118681,9
"924048",4416926686,"Asterales","Asteraceae","Canadanthus","Canadanthus modestus","","SPECIES","Canadanthus modestus (Lindl.) G.L.Nesom","Canadanthus modestus","","","Washington",47.892825,-117.616028,4
"959295",3902801372,"Asterales","Asteraceae","Anaphalis","Anaphalis margaritacea","","SPECIES","Anaphalis margaritacea (L.) Benth.","Anaphalis margaritacea","","","Washington",47.915312,-117.131358,8
"967423",3355733193,"Asterales","Asteraceae","Tanacetum","Tanacetum vulgare","","SPECIES","Tanacetum vulgare L.","Tanacetum vulgare","","","Washington",47.901853,-117.100869,4
"34895",2350398664,"Ericales","Ericaceae","Chimaphila","Chimaphila umbellata","","SPECIES","Chimaphila umbellata (L.) W.P.C.Barton","Chimaphila umbellata","","","Washington",47.882819,-117.08903,7
"35305",2311370475,"Ericales","Ericaceae","Chimaphila","Chimaphila umbellata","","SPECIES","Chimaphila umbellata (L.) W.P.C.Barton","Chimaphila umbellata","","","Washington",47.921408,-117.141153,5
"38277",3892274463,"Ericales","Ericaceae","Pyrola","Pyrola picta","","SPECIES","Pyrola picta Sm.","Pyrola picta","","","Washington",47.868922,-117.056214,4
"40028",3892377563,"Ericales","Primulaceae","Lysimachia","Lysimachia nummularia","","SPECIES","Lysimachia nummularia L.","Lysimachia nummularia","","","Washington",47.896205,-117.116561,3
"57746",3892553455,"Ericales","Ericaceae","Vaccinium","Vaccinium membranaceum","","SPECIES","Vaccinium membranaceum Douglas ex Hook.","Vaccinium membranaceum","","","Washington",47.90902,-117.125882,4
"62916",3892499072,"Ericales","Ericaceae","Monotropa","Monotropa uniflora","","SPECIES","Monotropa uniflora L.","Monotropa uniflora","","","Washington",47.883992,-117.105775,4
"99752",3892630047,"Ericales","Ericaceae","Vaccinium","Vaccinium membranaceum","","SPECIES","Vaccinium membranaceum Douglas ex Hook.","Vaccinium membranaceum","","","Washington",47.890494,-117.078261,9
"139937",2311340209,"Ericales","Ericaceae","Vaccinium","Vaccinium membranaceum","","SPECIES","Vaccinium membranaceum Douglas ex Hook.","Vaccinium membranaceum","","","Washington",47.915797,-117.113111,33
"174005",4177481380,"Ericales","Ericaceae","Arctostaphylos","Arctostaphylos uva-ursi","","SPECIES","Arctostaphylos uva-ursi (L.) Spreng.","Arctostaphylos uva-ursi","","","Washington",47.90265,-117.616303,4
"175661",2851309370,"Ericales","Ericaceae","Vaccinium","Vaccinium membranaceum","","SPECIES","Vaccinium membranaceum Douglas ex Hook.","Vaccinium membranaceum","","","Washington",47.896227,-117.098463,5
"200903",2633957589,"Ericales","Primulaceae","Dodecatheon","Dodecatheon pulchellum","","SPECIES","Primula pauciflora (Durand) A.R.Mast & Reveal","Primula pauciflora","","","Washington",47.923108,-117.652392,13
"201414",3889121948,"Ericales","Ericaceae","Pyrola","Pyrola asarifolia","","SPECIES","Pyrola asarifolia Michx.","Pyrola asarifolia","","","Washington",47.918881,-117.141783,16
"207723",4165571542,"Ericales","Polemoniaceae","Ipomopsis","Ipomopsis aggregata","","SPECIES","Ipomopsis aggregata (Pursh) V.E.Grant","Ipomopsis aggregata","","","Washington",47.888793,-117.381901,8
"226973",2992814637,"Ericales","Ericaceae","Arctostaphylos","Arctostaphylos uva-ursi","","SPECIES","Arctostaphylos uva-ursi (L.) Spreng.","Arctostaphylos uva-ursi","","","Washington",47.92362,-117.35772,10
"2391471",3892440685,"Ericales","Ericaceae","Pterospora","Pterospora andromedea","","SPECIES","Pterospora andromedea Nutt.","Pterospora andromedea","","","Washington",47.884755,-117.074508,4
"279401",3903099036,"Ericales","Ericaceae","Pterospora","Pterospora andromedea","","SPECIES","Pterospora andromedea Nutt.","Pterospora andromedea","","","Washington",47.903153,-117.145103,20
"291182",3112486829,"Ericales","Polemoniaceae","Phlox","Phlox gracilis","","SPECIES","Microsteris gracilis (Douglas ex Hook.) Greene","Microsteris gracilis","","","Washington",47.901987,-117.548314,15
"294798",3902775625,"Ericales","Ericaceae","Monotropa","Monotropa uniflora","","SPECIES","Monotropa uniflora L.","Monotropa uniflora","","","Washington",47.881619,-117.067306,5
"310671",3873089079,"Ericales","Ericaceae","Chimaphila","Chimaphila menziesii","","SPECIES","Chimaphila menziesii (R.Br. ex D.Don) Spreng.","Chimaphila menziesii","","","Washington",47.896414,-117.102683,4
"312521",2862565990,"Ericales","Ericaceae","Rhododendron","Rhododendron menziesii","","SPECIES","Rhododendron menziesii Craven","Rhododendron menziesii","","","Washington",47.919921,-117.130723,8
"320963",3889056635,"Ericales","Ericaceae","Vaccinium","Vaccinium scoparium","","SPECIES","Vaccinium scoparium Leiberg","Vaccinium scoparium","","","Washington",47.918494,-117.142303,35
"48455",2251837962,"Boraginales","Boraginaceae","Mertensia","Mertensia oblongifolia","","SPECIES","Mertensia oblongifolia (Nutt.) G.Don","Mertensia oblongifolia","","","Washington",47.930098,-117.359502,42
"75593",3994088512,"Boraginales","Boraginaceae","Anchusa","Anchusa officinalis","","SPECIES","Anchusa officinalis L.","Anchusa officinalis","","","Washington",47.864681,-117.161775,5
"91060",3124781032,"Boraginales","Boraginaceae","Anchusa","Anchusa officinalis","","SPECIES","Anchusa officinalis L.","Anchusa officinalis","","","Washington",47.917328,-117.205917,5
"94199",3355122017,"Boraginales","Boraginaceae","Anchusa","Anchusa officinalis","","SPECIES","Anchusa officinalis L.","Anchusa officinalis","","","Washington",47.883572,-117.4486,5
"98205",2620126206,"Boraginales","Hydrophyllaceae","Hydrophyllum","Hydrophyllum capitatum","","SPECIES","Hydrophyllum capitatum Douglas ex Benth.","Hydrophyllum capitatum","","","Washington",47.928216,-117.657381,29
"99801",4165538992,"Boraginales","Boraginaceae","Lycopsis","Lycopsis arvensis","","SPECIES","Anchusa arvensis Tausch, 1824","Anchusa arvensis","","","Washington",47.874705,-117.452447,8
"106602",1807273097,"Boraginales","Boraginaceae","Myosotis","Myosotis stricta","","SPECIES","Myosotis stricta Link ex Roem. & Schult.","Myosotis stricta","","","Washington",47.902215,-117.547213,13
"115603",2603302206,"Boraginales","Boraginaceae","Mertensia","Mertensia oblongifolia","","SPECIES","Mertensia oblongifolia (Nutt.) G.Don","Mertensia oblongifolia","","","Washington",47.921218,-117.652877,4
"126508",4153539297,"Boraginales","Boraginaceae","Anchusa","Anchusa officinalis","","SPECIES","Anchusa officinalis L.","Anchusa officinalis","","","Washington",47.902783,-117.618483,4
"136508",3881775525,"Boraginales","Boraginaceae","Anchusa","Anchusa officinalis","","SPECIES","Anchusa officinalis L.","Anchusa officinalis","","","Washington",47.886256,-117.130967,12
"188131",4102899489,"Cornales","Cornaceae","Cornus","Cornus sericea","","SPECIES","Cornus sericea L.","Cornus sericea","","","Washington",47.928765,-117.353909,7
"276221",4034729709,"Geraniales","Geraniaceae","Erodium","Erodium cicutarium","","SPECIES","Erodium cicutarium (L.) L'Hér.","Erodium cicutarium","","","Washington",47.860987,-117.339325,4
"313162",1847448705,"Geraniales","Geraniaceae","Erodium","Erodium cicutarium","","SPECIES","Erodium cicutarium (L.) L'Hér.","Erodium cicutarium","","","Washington",47.901642,-117.5481,15
